pre_score,pre_comp_time,post_score,post_comp_time
0.1,97.826,0.9,66.234
0.5,88.759,1,72.769
0.2,147.89,0.7,48.257
0.5,89.308,0.6,77.479
0.8,80.21,0.9,63
0.6,97.906,0.7,70.974
0.3,80.208,0.7,63
0.5,139,0.9,66
0.3,61,0.9,92
0.4,123.2,0.9,137.96
0.6,69.43,0.6,78.92
0.6,96.98,0.7,117.49
0.1,167.579,0.6,104.238
0.2,105.703,0.5,54.184
0.9,96.131,1,51.371
0.7,67.514,0.9,64.969
0.5,126.681,0.9,88.202
0.3,124.132,0.7,96.378
0.3,119.796,0.6,98.11
0.8,91.184,0.8,67.792
0.3,156.319,0.9,131.517
0.5,108.471,0.9,104.053
0.7,114.758,0.8,113.673
0.5,87.971,0.9,86.908
0.9,192,1,128.4
0.5,99.19,0.8,101.903
0.6,110.191,0.8,100.433
0.1,72.6,0.6,148.8
0.8,189,1,135
0.5,96.507,0.6,119.61
0.3333,72.749,0.3333,91.157
0.2,137.259,0.5,138.529
0.8,66.339,1,40.897
0.8,82.537,1,64.37
1,84.293,0.9,59.783
0.6,127.945,1,114.73
0.3,153.532,0.7,119.519
0,59.806,0.4,175.007
0.3,151.488,0.9,47.113
0.3,79.175,0.6,64.227
0.6,74.711,0.9,81.971
0.5,71.199,0.8,67.347
0.4,186,0.5,194
0.3,139,0.5,141
0.4,184,0.9,168
0.5,114.169,0.7,125.713
0.7,131.217,0.8,93.048
0.4,95.097,0.7,77.817
0.5,78.893,0.5,86.154
0.4,98.552,0.6,82.326
0.2,119.916,0.4,95.932
0.5,117.784,0.9,95.02
0.6,142.57,1,74.042
0.5,134.868,0.6,131.832
0.3,133.005,0.8,92.367
0.7,115.421,1,61.214
0.6,105.746,0.9,89.91
0.5,108.426,0.6,139.781
0.7,119.787,0.7,90.263
0.7,131.625,1,96.706
0.2,139.327,0.8,48.94
