student,pre,post
1,97.826,66.234
2,88.759,72.769
3,147.89,48.257
4,89.308,77.479
5,80.21,63
6,97.906,70.974
7,80.208,63
8,139,66
9,61,92
10,123.2,137.96
11,69.43,78.92
12,96.98,117.49
13,167.579,104.238
14,105.703,54.184
15,96.131,51.371
16,67.514,64.969
17,126.681,88.202
18,124.132,96.378
19,119.796,98.11
20,91.184,67.792
21,156.319,131.517
22,108.471,104.053
23,114.758,113.673
24,87.971,86.908
25,192,128.4
26,99.19,101.903
27,110.191,100.433
28,72.6,148.8
29,189,135
30,96.507,119.61
31,72.749,91.157
32,137.259,138.529
33,66.339,40.897
34,82.537,64.37
35,84.293,59.783
36,127.945,114.73
37,153.532,119.519
38,59.806,175.007
39,151.488,47.113
40,79.175,64.227
41,74.711,81.971
42,71.199,67.347
43,186,194
44,139,141
45,184,168
46,114.169,125.713
47,131.217,93.048
48,95.097,77.817
49,78.893,86.154
50,98.552,82.326
51,119.916,95.932
52,117.784,95.02
53,142.57,74.042
54,134.868,131.832
55,133.005,92.367
56,115.421,61.214
57,105.746,89.91
58,108.426,139.781
59,119.787,90.263
60,131.625,96.706
61,139.327,48.94
