student,pre,post
1,0.8,1
2,0.6667,0.8667
3,0.4667,0.8
4,0.2,0.5333
5,0.9333,1
6,0.866,1
7,0.7333,0.9333
8,0.7333,0.9333
9,0.4667,0.8667
10,0.2667,0.8667
11,0.5333,0.9333
12,0.2667,0.9333
13,0.7333,1
14,0.5333,0.5333
15,0.7333,1
16,0.5333,0.8
17,0.3333,0.6667
18,0.4,0.87
19,0.47,0.87
20,0.867,1
21,0.53,0.8
22,0.66,1
23,0.46,0.73
24,0.66,1
25,0.8,0.9333
26,0.53,0.8
27,0.73,0.8
28,0.7333,0.9333
29,0.7333,1
30,0.3333,1
31,0.3333,0.9333
32,0.8,0.9333
33,1,0.8667
34,0.8667,0.9333
35,0.8667,0.9333
36,1,0.9333
37,0.8,1
38,0.6667,0.6667
39,0.6,0.8667
40,0.4,0.8
41,0.8,0.8
42,0.8,0.9333
43,0.6667,0.8666
44,0.6667,0.8
45,0.6667,1
46,0.7333,0.8
47,0.8667,1
48,0.6667,1
49,0.6667,0.8667
50,0.6,0.7333
51,0.6,0.9333
52,0.6667,0.7333
53,0.7333,0.6
54,0.6,1
55,0.8,0.9333
56,0.9333,1
57,0.7333,1
58,0.4,0.9333
59,0.5,0.93
60,0.53,0.93
61,0.47,0.8
