student,pre,post
1,112.906,64.948
2,111.964,75.538
3,140.956,121.034
4,188.01,104.769
5,94.53,65.21
6,87.15,111.035
7,94.533,65.208
8,136,112
9,147,142
10,132.62,148.61
11,112.88,148.84
12,127.74,131.54
13,142.375,60.506
14,204.107,120.639
15,128.087,61.054
16,200.159,100.564
17,158.901,154.297
18,139.27,86.505
19,81.682,125.653
20,95.126,55.495
21,176.958,189.632
22,123.574,85.38
23,145.303,138.31
24,142.103,127.914
25,135,196.8
26,156.077,142.287
27,81.752,109.894
28,81.6,85.8
29,198,210
30,132.365,109.707
31,156.049,127.778
32,158.483,104.316
33,75.206,54.189
34,80.895,88.143
35,85.168,66.971
36,127.638,101.265
37,113.907,129.183
38,202.091,149.21
39,128.124,81.13
40,109.491,106.257
41,97.201,109.79
42,60.25,75.574
43,269,240
44,140,182
45,246,292
46,105.799,100.48
47,111.902,87.115
48,164.845,84.672
49,100.055,60.813
50,104.182,88.853
51,103.097,86.749
52,117.913,94.532
53,190.8,186
54,250.8,207
55,207,198
56,107.165,56.113
57,107.9,93.197
58,118.453,151.294
59,112.954,84.463
60,117.347,86.337
61,73.588,58.708
