students,no_of_tapping_quiz_1,no_of_tapping_quiz_2,no_of_attempts_quiz_1,no_of_attempts_quiz_2,task_comp_time_quiz_1_sec,task_comp_time_quiz_2_sec,score_quiz_1,score_quiz_2,no_of_times_asking_help_quiz_1,no_of_times_asking_help_quiz_2,overall_satisfaction,easy_to_use,easy_to_learn,future_use,recommend_to_others,tapping_registration,tapping_login,tapping_payment,tapping_manual_reading,tapping_panduan,tapping_alasan,tapping_pola_warna,tapping_pola_merah,tapping_pola_hijau,tapping_quiz_login,attempts_registration,attempts_login,attempts_payment,attempts_manual_reading,attempts_panduan,attempts_alasan,attempts_pola_warna,attempts_pola_merah,attempts_pola_hijau,attempts_quiz_login,comp_times_registration,comp_times_login,comp_times_payment,comp_times_manual_reading,comp_times_panduan,comp_times_alasan,comp_times_pola_warna,comp_times_pola_merah,comp_times_pola_hijau,comp_times_quiz_login,help_registration,help_login,help_payment,help_manual_reading,help_panduan,help_alasan,help_pola_warna,help_pola_merah,help_pola_hijau,help_quiz_login
1,20,20,1,1,179.92,239.7,9,7,1,1,4,5,3,3,3,5,3,12,3,4,3,3,22,11,3,1,1,1,1,1,1,1,2,1,1,18,18,30,60,30,30,120,60,60,18,1,1,1,1,1,1,1,1,1,0
2,20,20,1,1,120.04,120,6,9,1,1,3,4,3,3,3,5,3,5,3,4,3,3,22,11,3,1,1,1,1,1,1,1,2,1,1,30,18,30,49.2,30,30,61.2,70.8,38.4,18,1,1,1,1,1,1,0,0,0,1
3,20,20,1,1,60.29,239.49,8,9,1,0,3,4,3,3,3,5,7,7,3,5,3,3,22,11,8,1,1,1,1,1,1,1,2,1,1,36,93.6,30,49.2,30,30,61.2,70.8,38.4,37.8,1,0,1,0,1,1,0,0,0,0
4,20,20,1,1,179.97,231,7,9,1,0,3,3,2,3,3,3,7,12,3,5,3,3,22,11,8,1,1,1,1,1,1,1,2,1,1,18,93.6,126,49.2,48,30,61.2,70.8,38.4,37.8,1,0,1,0,1,1,0,0,0,0
5,20,20,1,1,120.24,239.79,15,6,1,1,2,5,5,4,5,5,3,12,1,2,3,3,22,11,2,1,2,1,3,2,1,1,2,1,1,85.2,45,148,19.8,12,7.8,68,80,43,19.8,1,1,0,0,0,0,0,0,0,0
6,20,20,1,1,180.08,239.75,7,10,0,0,2,4,3,4,4,5,2,12,5,2,3,8,6,2,1,3,2,1,2,1,1,2,1,1,1,90,13.8,148,30,10.8,19.2,36,24,12,13.8,2,1,0,0,0,0,0,0,0,0
7,20,20,1,1,147.6,248.4,10,9,1,1,4,5,5,4,5,5,3,12,1,2,3,3,22,11,2,1,2,1,3,2,1,1,2,1,1,100.2,75,148,32.4,12,5.4,68,80,43,19.8,1,1,0,0,0,0,0,0,0,0
8,20,20,1,1,180.37,299.62,8,9,0,0,5,4,4,4,4,7,3,4,4,4,3,3,22,11,14,1,1,1,1,1,1,1,2,1,1,60,10.2,25.2,10.00000002,10.00000002,7.99999998,68,80,43,10.00000002,0,0,0,0,0,0,0,0,0,0
9,20,20,1,1,180.35,359.7,7,8,0,0,5,4,4,4,4,5,3,12,3,3,3,3,22,11,16,1,1,1,1,1,1,1,2,1,1,30,19.8,148,6,30,16.8,61.2,70.8,38.4,10.00000002,0,0,0,0,0,0,0,0,0,0
10,20,20,1,1,60.43,120.07,11,10,1,0,3,5,5,4,5,6,3,10,1,3,3,3,22,11,3,2,1,2,1,1,1,1,2,1,1,46.8,27.6,60,27,7.2,10.2,68,80,43,42.6,1,2,1,0,0,0,0,0,0,1
